REGION_NO,ADM2_EN,ADM3_EN,ADM3_CODE,TOTAL_EMPLOYED,AGRI_EMPLOYED,PERCENT_AGRI
7,BOHOL,Bien Unido,PH071248000,73.0,38.0,52.05
10,BUKIDNON,Baungon,PH101301000,146.0,85.0,58.22
10,BUKIDNON,Damulog,PH101302000,134.0,125.0,93.28
10,BUKIDNON,Dangcagan,PH101303000,96.0,57.0,59.38
10,BUKIDNON,Don Carlos,PH101304000,367.0,179.0,48.77
10,BUKIDNON,Impasug-ong,PH101305000,389.0,292.0,75.06
10,BUKIDNON,Kadingilan,PH101306000,194.0,155.0,79.9
10,BUKIDNON,Kalilangan,PH101307000,392.0,275.0,70.15
10,BUKIDNON,Kibawe,PH101308000,323.0,184.0,56.97
10,BUKIDNON,Kitaotao,PH101309000,266.0,181.0,68.05
10,BUKIDNON,Lantapan,PH101310000,388.0,252.0,64.95
10,BUKIDNON,Libona,PH101311000,228.0,140.0,61.4
10,BUKIDNON,City of Malaybalay,PH101312000,1052.0,426.0,40.49
10,BUKIDNON,Malitbog,PH101313000,62.0,37.0,59.68
10,BUKIDNON,Manolo Fortich,PH101314000,347.0,141.0,40.63
10,BUKIDNON,Maramag,PH101315000,446.0,214.0,47.98
10,BUKIDNON,Pangantucan,PH101316000,267.0,158.0,59.18
10,BUKIDNON,Quezon,PH101317000,555.0,308.0,55.5
10,BUKIDNON,San Fernando,PH101318000,183.0,118.0,64.48
10,BUKIDNON,Sumilao,PH101319000,153.0,100.0,65.36
10,BUKIDNON,Talakag,PH101320000,314.0,203.0,64.65
10,BUKIDNON,City of Valencia,PH101321000,1093.0,367.0,33.58
10,BUKIDNON,Cabanglasan,PH101322000,231.0,163.0,70.56
3,BULACAN,Angat,PH031401000,120.0,18.0,15.0
3,BULACAN,Balagtas,PH031402000,147.0,5.0,3.4
3,BULACAN,City of Baliwag,PH031403000,514.0,21.0,4.09
3,BULACAN,Bocaue,PH031404000,262.0,10.0,3.82
3,BULACAN,Bulacan,PH031405000,207.0,8.0,3.86
3,BULACAN,Bustos,PH031406000,89.0,7.0,7.87
3,BULACAN,Calumpit,PH031407000,208.0,8.0,3.85
3,BULACAN,Guiguinto,PH031408000,254.0,1.0,0.39
3,BULACAN,Hagonoy,PH031409000,66.0,13.0,19.7
3,BULACAN,City of Malolos,PH031410000,435.0,12.0,2.76
3,BULACAN,Marilao,PH031411000,441.0,0.0,0.0
3,BULACAN,City of Meycauayan,PH031412000,589.0,0.0,0.0
3,BULACAN,Norzagaray,PH031413000,203.0,6.0,2.96
3,BULACAN,Obando,PH031414000,121.0,41.0,33.88
3,BULACAN,Pandi,PH031415000,75.0,5.0,6.67
3,BULACAN,Paombong,PH031416000,58.0,2.0,3.45
3,BULACAN,Plaridel,PH031417000,113.0,1.0,0.88
3,BULACAN,Pulilan,PH031418000,339.0,33.0,9.73
3,BULACAN,San Ildefonso,PH031419000,243.0,38.0,15.64
3,BULACAN,City of San Jose Del Monte,PH031420000,689.0,26.0,3.77
3,BULACAN,San Miguel,PH031421000,191.0,26.0,13.61
3,BULACAN,San Rafael,PH031422000,212.0,37.0,17.45
3,BULACAN,Santa Maria,PH031423000,443.0,12.0,2.71
3,BULACAN,Doña Remedios Trinidad,PH031424000,4.0,0.0,0.0
2,CAGAYAN,Abulug,PH021501000,224.0,119.0,53.12
2,CAGAYAN,Alcala,PH021502000,300.0,181.0,60.33
2,CAGAYAN,Allacapan,PH021503000,209.0,125.0,59.81
2,CAGAYAN,Amulung,PH021504000,153.0,120.0,78.43
2,CAGAYAN,Aparri,PH021505000,332.0,124.0,37.35
2,CAGAYAN,Baggao,PH021506000,320.0,183.0,57.19
2,CAGAYAN,Ballesteros,PH021507000,300.0,127.0,42.33
2,CAGAYAN,Buguey,PH021508000,147.0,98.0,66.67
2,CAGAYAN,Calayan,PH021509000,2.0,1.0,50.0
2,CAGAYAN,Camalaniugan,PH021510000,100.0,57.0,57.0
2,CAGAYAN,Claveria,PH021511000,66.0,13.0,19.7
2,CAGAYAN,Enrile,PH021512000,108.0,62.0,57.41
2,CAGAYAN,Gattaran,PH021513000,312.0,177.0,56.73
2,CAGAYAN,Gonzaga,PH021514000,306.0,153.0,50.0
2,CAGAYAN,Iguig,PH021515000,82.0,24.0,29.27
2,CAGAYAN,Lal-Lo,PH021516000,320.0,213.0,66.56
2,CAGAYAN,Lasam,PH021517000,329.0,179.0,54.41
2,CAGAYAN,Pamplona,PH021518000,95.0,56.0,58.95
2,CAGAYAN,Peñablanca,PH021519000,144.0,98.0,68.06
2,CAGAYAN,Piat,PH021520000,191.0,116.0,60.73
2,CAGAYAN,Rizal,PH021521000,120.0,89.0,74.17
2,CAGAYAN,Sanchez-Mira,PH021522000,151.0,58.0,38.41
2,CAGAYAN,Santa Ana,PH021523000,195.0,58.0,29.74
14,CAGAYAN,Santa Praxedes,PH021524000,1.0,1.0,100.0
2,CAGAYAN,Santa Teresita,PH021525000,97.0,53.0,54.64
2,CAGAYAN,Santo Niño,PH021526000,103.0,73.0,70.87
2,CAGAYAN,Solana,PH021527000,509.0,237.0,46.56
2,CAGAYAN,Tuao,PH021528000,340.0,177.0,52.06
2,CAGAYAN,Tuguegarao City,PH021529000,1164.0,66.0,5.67
5,CAMARINES NORTE,Basud,PH051601000,321.0,109.0,33.96
5,CAMARINES NORTE,Capalonga,PH051602000,264.0,157.0,59.47
5,CAMARINES NORTE,Daet,PH051603000,1365.0,83.0,6.08
5,CAMARINES NORTE,San Lorenzo Ruiz,PH051604000,57.0,30.0,52.63
5,CAMARINES NORTE,Jose Panganiban,PH051605000,571.0,111.0,19.44
5,CAMARINES NORTE,Labo,PH051606000,865.0,307.0,35.49
5,CAMARINES NORTE,Mercedes,PH051607000,338.0,117.0,34.62
5,CAMARINES NORTE,Paracale,PH051608000,594.0,106.0,17.85
5,CAMARINES NORTE,San Vicente,PH051609000,117.0,45.0,38.46
5,CAMARINES NORTE,Santa Elena,PH051610000,315.0,100.0,31.75
5,CAMARINES NORTE,Talisay,PH051611000,176.0,34.0,19.32
5,CAMARINES NORTE,Vinzons,PH051612000,295.0,146.0,49.49
5,CAMARINES SUR,Baao,PH051701000,111.0,27.0,24.32
5,CAMARINES SUR,Balatan,PH051702000,23.0,7.0,30.43
5,CAMARINES SUR,Bato,PH051703000,69.0,13.0,18.84
5,CAMARINES SUR,Bombon,PH051704000,36.0,12.0,33.33
5,CAMARINES SUR,Buhi,PH051705000,212.0,70.0,33.02
5,CAMARINES SUR,Bula,PH051706000,77.0,28.0,36.36
5,CAMARINES SUR,Cabusao,PH051707000,52.0,11.0,21.15
5,CAMARINES SUR,Calabanga,PH051708000,232.0,82.0,35.34
5,CAMARINES SUR,Camaligan,PH051709000,2.0,0.0,0.0
5,CAMARINES SUR,Canaman,PH051710000,34.0,5.0,14.71
5,CAMARINES SUR,Caramoan,PH051711000,79.0,27.0,34.18
5,CAMARINES SUR,Del Gallego,PH051712000,23.0,8.0,34.78
5,CAMARINES SUR,Gainza,PH051713000,3.0,1.0,33.33
5,CAMARINES SUR,Garchitorena,PH051714000,2.0,1.0,50.0
5,CAMARINES SUR,Goa,PH051715000,266.0,91.0,34.21
5,CAMARINES SUR,City of Iriga,PH051716000,266.0,39.0,14.66
5,CAMARINES SUR,Lagonoy,PH051717000,101.0,44.0,43.56
5,CAMARINES SUR,Libmanan,PH051718000,339.0,137.0,40.41
5,CAMARINES SUR,Lupi,PH051719000,96.0,49.0,51.04
